,user,text,favorite_count,retweet_count,created_at
0,F1,"""Definitely the result we deserve"" 💪

What a drive from Lewis Hamilton who takes to the second spot on the podium in Canada 👏

#F1 #CanadianGP https://t.co/OrtGGGBJ1L",5070,680,Mon May 25 01:17:00 +0000 2026
1,F1,"""Disbelief"" 😢

A DNF for George Russell was a bitterly disappointing end to his Canada weekend, after thrilling battles throughout! 

#F1 #CanadianGP https://t.co/SfmCnJffld",2563,367,Mon May 25 01:08:00 +0000 2026
2,F1,"A cold Kimi Antonelli, in more ways than one! 😆🧊

#F1 #CanadianGP https://t.co/z00OH5QgVM",2087,251,Mon May 25 00:56:00 +0000 2026
3,F1,"Hats off to our marshal there! 😮‍💨👀

#F1 #CanadianGP https://t.co/D1NyS18D7s",5256,560,Mon May 25 00:44:00 +0000 2026
4,F1,"Record. Breaker. 😎

Kimi Antonelli is the first driver ever to take his first four Grand Prix wins consecutively 👏

#F1 #CanadianGP https://t.co/rpALnQj3qo",19393,3201,Mon May 25 00:33:00 +0000 2026
5,F1,"This is just how quickly things can change in the battle for the Drivers' Championship! 🫢📈📉

#F1 #CanadianGP https://t.co/XSN6ysddRN",2631,236,Mon May 25 00:20:00 +0000 2026
6,F1,"A mighty day from Lewis 💪

The @salesforce Driver of the Day in Canada goes to Lewis Hamilton! 🤩

 #F1 #F1DriverOfTheDay #CanadianGP https://t.co/z5Avl4o56o",12288,1588,Mon May 25 00:08:00 +0000 2026
7,F1,"George Russell wishes he had ""40 more of those laps"" racing Kimi Antonelli in Canada 🥲

#F1 #CanadianGP https://t.co/wXNATqczyn",1976,175,Sun May 24 23:45:00 +0000 2026
8,F1,"The Constructors' Standings are IN after Canada! 🤩👀

#F1 #CanadianGP https://t.co/B169kgmkRK",5706,717,Sun May 24 23:33:29 +0000 2026
9,F1,"Vamos, Franco! 🤩

P6 locked in for the @AlpineF1Team driver in Canada 💪

#F1 #CanadianGP @FranColapinto https://t.co/7h1oq6zSuQ",9172,830,Sun May 24 23:24:00 +0000 2026
10,F1,"Kimi Antonelli extends his lead at the top of the Drivers' Championship! 📈👀

Further down the order, Lewis Hamilton and Pierre Gasly both make gains... 👇

#F1 #CanadianGP https://t.co/Bfv5CUBNW2",7027,1172,Sun May 24 23:11:00 +0000 2026
11,F1,"Kimi Antonelli has extended his lead in the Drivers' Championship after winning in Canada, with Mercedes team mate George Russell retiring from the race 

RACE REPORT 👉 https://t.co/CqH6iCsIRm

#F1 #CanadianGP https://t.co/zubf6WSHkE",1517,135,Sun May 24 22:59:00 +0000 2026
12,F1,"🤩 Parc 🤗 Ferme 😃

#F1 #CanadianGP https://t.co/tMxCcPbG9l",2397,226,Sun May 24 22:46:00 +0000 2026
13,F1,"Lifted onto the top, TOP step of the podium! ☝😎

#F1 #CanadianGP https://t.co/aLdtZ774aK",12067,1900,Sun May 24 22:33:00 +0000 2026
14,F1,"""We'll take it!"" 💪

Kimi Antonelli wins his fourth Grand Prix in a row 😮‍💨

#F1 #CanadianGP https://t.co/lzK7Ed6eaS",3348,469,Sun May 24 22:24:13 +0000 2026
15,F1,"This podium moment ❤️

#F1 #CanadianGP https://t.co/1TyRU3yhvF",78157,11848,Sun May 24 22:17:28 +0000 2026
16,F1,"Kimi gets the Lewis lift treatment! 😮‍💨😅

#F1 #CanadianGP https://t.co/HvmzMFlDev",15262,1967,Sun May 24 22:10:02 +0000 2026
17,F1,"Kimi. Antonelli. 👊

#F1 #CanadianGP https://t.co/8Y3wCEzpS0",5098,691,Sun May 24 22:06:05 +0000 2026
18,F1,"Straight into the arms of his @MercedesAMGF1 team for Kimi Antonelli 👏🤗

#F1 #CanadianGP https://t.co/95Fx39Obvg",3376,434,Sun May 24 21:59:47 +0000 2026
19,F1,"Kimi 🤗 Lewis

#F1 #CanadianGP https://t.co/U3T9yrHF63",19077,3645,Sun May 24 21:52:44 +0000 2026
